household_id,child_id,child_unique_id,child_age,child_gender,ar11,mother_pid14,mother_pidlink,mother_age
0120600,10.0,012060010,0.0,1:Male,6.0,6.0,012060006,24.0
0120741,4.0,012074104,4.0,3:Female,2.0,2.0,012070003,33.0
0120742,4.0,012074204,3.0,1:Male,2.0,2.0,012070004,31.0
0120951,3.0,012095103,1.0,3:Female,2.0,2.0,012095102,23.0
0121241,4.0,012124104,0.0,1:Male,2.0,2.0,012120003,34.0
0121251,3.0,012125103,2.0,1:Male,2.0,2.0,012125102,26.0
0121300,11.0,012130011,4.0,3:Female,5.0,,,
0121352,3.0,012135203,3.0,3:Female,2.0,2.0,012130006,30.0
0121352,4.0,012135204,0.0,1:Male,2.0,2.0,012130006,30.0
0121400,13.0,012140013,0.0,1:Male,12.0,12.0,012140012,25.0
0121432,6.0,012143206,4.0,1:Male,1.0,1.0,012140004,43.0
0121452,7.0,012145207,1.0,1:Male,6.0,6.0,012140011,19.0
0121651,2.0,012165102,4.0,1:Male,51:Did not live in this household,,,
0121653,4.0,012165304,0.0,1:Male,2.0,2.0,012165302,42.0
0121654,5.0,012165405,2.0,1:Male,2.0,2.0,012160007,35.0
0121751,3.0,012175103,2.0,1:Male,2.0,2.0,012170005,23.0
0121951,4.0,012195104,3.0,3:Female,2.0,2.0,012195102,32.0
0121952,3.0,012195203,2.0,3:Female,2.0,2.0,012190008,28.0
0130100,10.0,013010010,1.0,3:Female,6.0,6.0,013010006,32.0
0130151,3.0,013015103,1.0,1:Male,2.0,2.0,013010004,22.0
0130151,4.0,013015104,0.0,3:Female,2.0,2.0,013010004,22.0
0130200,7.0,013020007,4.0,1:Male,6.0,6.0,013020006,26.0
0130241,4.0,013024104,0.0,3:Female,2.0,2.0,013024102,27.0
0130252,3.0,013025203,3.0,3:Female,2.0,2.0,013020005,27.0
0130252,4.0,013025204,2.0,1:Male,2.0,2.0,013020005,27.0
0130500,8.0,013050008,1.0,3:Female,6.0,6.0,013050006,31.0
0130541,5.0,013054105,0.0,1:Male,2.0,2.0,013050004,34.0
